max_net_adj,impact_col,min_starts,min_absences,conf_floor,swing_threshold,matches,base_correct,adj_correct,base_acc,adj_acc,delta,swings,swing_correct,swing_wrong,swing_acc,matches_with_adj,direction_correct,direction_rate
0.1,weighted_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,81,35,46,0.43209876543209874,968,464,0.4793388429752066
0.1,weighted_impact,15,5,0.3,0.3,1137,792,781,0.6965699208443272,0.6868953386103782,-11,81,35,46,0.43209876543209874,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,81,35,46,0.43209876543209874,968,464,0.4793388429752066
0.125,weighted_impact,15,5,0.3,0.3,1137,792,779,0.6965699208443272,0.6851363236587511,-13,111,49,62,0.44144144144144143,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,34,15,19,0.4411764705882353,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,60,28,32,0.4666666666666667,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,81,35,46,0.43209876543209874,968,464,0.4793388429752066
0.15,weighted_impact,15,5,0.3,0.3,1137,792,772,0.6965699208443272,0.6789797713280563,-20,138,59,79,0.427536231884058,968,464,0.4793388429752066
0.03,weighted_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,971,467,0.48094747682801237
0.03,weighted_impact,15,5,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,971,467,0.48094747682801237
0.03,weighted_impact,15,5,0.5,0.1,1137,792,789,0.6965699208443272,0.6939313984168866,-3,23,10,13,0.43478260869565216,971,467,0.48094747682801237
0.03,weighted_impact,15,5,0.5,0.15,1137,792,789,0.6965699208443272,0.6939313984168866,-3,23,10,13,0.43478260869565216,971,467,0.48094747682801237
0.03,weighted_impact,15,5,0.5,0.2,1137,792,789,0.6965699208443272,0.6939313984168866,-3,23,10,13,0.43478260869565216,971,467,0.48094747682801237
0.03,weighted_impact,15,5,0.5,0.3,1137,792,789,0.6965699208443272,0.6939313984168866,-3,23,10,13,0.43478260869565216,971,467,0.48094747682801237
0.05,weighted_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,971,467,0.48094747682801237
0.05,weighted_impact,15,5,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,971,467,0.48094747682801237
0.05,weighted_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,971,467,0.48094747682801237
0.05,weighted_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,971,467,0.48094747682801237
0.05,weighted_impact,15,5,0.5,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,971,467,0.48094747682801237
0.05,weighted_impact,15,5,0.5,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,971,467,0.48094747682801237
0.075,weighted_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,971,467,0.48094747682801237
0.075,weighted_impact,15,5,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,971,467,0.48094747682801237
0.075,weighted_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,971,467,0.48094747682801237
0.075,weighted_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,971,467,0.48094747682801237
0.075,weighted_impact,15,5,0.5,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,971,467,0.48094747682801237
0.075,weighted_impact,15,5,0.5,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,971,467,0.48094747682801237
0.1,weighted_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,971,467,0.48094747682801237
0.1,weighted_impact,15,5,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,971,467,0.48094747682801237
0.1,weighted_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,971,467,0.48094747682801237
0.1,weighted_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,971,467,0.48094747682801237
0.1,weighted_impact,15,5,0.5,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,83,36,47,0.43373493975903615,971,467,0.48094747682801237
0.1,weighted_impact,15,5,0.5,0.3,1137,792,781,0.6965699208443272,0.6868953386103782,-11,83,36,47,0.43373493975903615,971,467,0.48094747682801237
0.125,weighted_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,971,467,0.48094747682801237
0.125,weighted_impact,15,5,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,971,467,0.48094747682801237
0.125,weighted_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,971,467,0.48094747682801237
0.125,weighted_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,971,467,0.48094747682801237
0.125,weighted_impact,15,5,0.5,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,83,36,47,0.43373493975903615,971,467,0.48094747682801237
0.125,weighted_impact,15,5,0.5,0.3,1137,792,779,0.6965699208443272,0.6851363236587511,-13,111,49,62,0.44144144144144143,971,467,0.48094747682801237
0.15,weighted_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,971,467,0.48094747682801237
0.15,weighted_impact,15,5,0.5,0.05,1137,792,788,0.6965699208443272,0.693051890941073,-4,16,6,10,0.375,971,467,0.48094747682801237
0.15,weighted_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,971,467,0.48094747682801237
0.15,weighted_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,971,467,0.48094747682801237
0.15,weighted_impact,15,5,0.5,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,83,36,47,0.43373493975903615,971,467,0.48094747682801237
0.15,weighted_impact,15,5,0.5,0.3,1137,792,772,0.6965699208443272,0.6789797713280563,-20,138,59,79,0.427536231884058,971,467,0.48094747682801237
0.03,elo_adj_impact,15,5,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,955,447,0.4680628272251309
0.03,elo_adj_impact,15,5,0.0,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,955,447,0.4680628272251309
0.03,elo_adj_impact,15,5,0.0,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,955,447,0.4680628272251309
0.03,elo_adj_impact,15,5,0.0,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,955,447,0.4680628272251309
0.03,elo_adj_impact,15,5,0.0,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,955,447,0.4680628272251309
0.03,elo_adj_impact,15,5,0.0,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,955,447,0.4680628272251309
0.05,elo_adj_impact,15,5,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,955,447,0.4680628272251309
0.05,elo_adj_impact,15,5,0.0,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,955,447,0.4680628272251309
0.05,elo_adj_impact,15,5,0.0,0.1,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,955,447,0.4680628272251309
0.05,elo_adj_impact,15,5,0.0,0.15,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,955,447,0.4680628272251309
0.05,elo_adj_impact,15,5,0.0,0.2,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,955,447,0.4680628272251309
0.05,elo_adj_impact,15,5,0.0,0.3,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,955,447,0.4680628272251309
0.075,elo_adj_impact,15,5,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,955,447,0.4680628272251309
0.075,elo_adj_impact,15,5,0.0,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,955,447,0.4680628272251309
0.075,elo_adj_impact,15,5,0.0,0.1,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,955,447,0.4680628272251309
0.075,elo_adj_impact,15,5,0.0,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,955,447,0.4680628272251309
0.075,elo_adj_impact,15,5,0.0,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,955,447,0.4680628272251309
0.075,elo_adj_impact,15,5,0.0,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,955,447,0.4680628272251309
0.1,elo_adj_impact,15,5,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,955,447,0.4680628272251309
0.1,elo_adj_impact,15,5,0.0,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,955,447,0.4680628272251309
0.1,elo_adj_impact,15,5,0.0,0.1,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,955,447,0.4680628272251309
0.1,elo_adj_impact,15,5,0.0,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,955,447,0.4680628272251309
0.1,elo_adj_impact,15,5,0.0,0.2,1137,792,780,0.6965699208443272,0.6860158311345647,-12,80,34,46,0.425,955,447,0.4680628272251309
0.1,elo_adj_impact,15,5,0.0,0.3,1137,792,780,0.6965699208443272,0.6860158311345647,-12,80,34,46,0.425,955,447,0.4680628272251309
0.125,elo_adj_impact,15,5,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,955,447,0.4680628272251309
0.125,elo_adj_impact,15,5,0.0,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,955,447,0.4680628272251309
0.125,elo_adj_impact,15,5,0.0,0.1,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,955,447,0.4680628272251309
0.125,elo_adj_impact,15,5,0.0,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,955,447,0.4680628272251309
0.125,elo_adj_impact,15,5,0.0,0.2,1137,792,780,0.6965699208443272,0.6860158311345647,-12,80,34,46,0.425,955,447,0.4680628272251309
0.125,elo_adj_impact,15,5,0.0,0.3,1137,792,778,0.6965699208443272,0.6842568161829375,-14,110,48,62,0.43636363636363634,955,447,0.4680628272251309
0.15,elo_adj_impact,15,5,0.0,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,955,447,0.4680628272251309
0.15,elo_adj_impact,15,5,0.0,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,955,447,0.4680628272251309
0.15,elo_adj_impact,15,5,0.0,0.1,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,955,447,0.4680628272251309
0.15,elo_adj_impact,15,5,0.0,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,955,447,0.4680628272251309
0.15,elo_adj_impact,15,5,0.0,0.2,1137,792,780,0.6965699208443272,0.6860158311345647,-12,80,34,46,0.425,955,447,0.4680628272251309
0.15,elo_adj_impact,15,5,0.0,0.3,1137,792,771,0.6965699208443272,0.6781002638522428,-21,137,58,79,0.4233576642335766,955,447,0.4680628272251309
0.03,elo_adj_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,954,447,0.46855345911949686
0.03,elo_adj_impact,15,5,0.3,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,954,447,0.46855345911949686
0.03,elo_adj_impact,15,5,0.3,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,954,447,0.46855345911949686
0.03,elo_adj_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,954,447,0.46855345911949686
0.03,elo_adj_impact,15,5,0.3,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,954,447,0.46855345911949686
0.03,elo_adj_impact,15,5,0.3,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,22,9,13,0.4090909090909091,954,447,0.46855345911949686
0.05,elo_adj_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,954,447,0.46855345911949686
0.05,elo_adj_impact,15,5,0.3,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,954,447,0.46855345911949686
0.05,elo_adj_impact,15,5,0.3,0.1,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,954,447,0.46855345911949686
0.05,elo_adj_impact,15,5,0.3,0.15,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,954,447,0.46855345911949686
0.05,elo_adj_impact,15,5,0.3,0.2,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,954,447,0.46855345911949686
0.05,elo_adj_impact,15,5,0.3,0.3,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,954,447,0.46855345911949686
0.075,elo_adj_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,954,447,0.46855345911949686
0.075,elo_adj_impact,15,5,0.3,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,954,447,0.46855345911949686
0.075,elo_adj_impact,15,5,0.3,0.1,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,954,447,0.46855345911949686
0.075,elo_adj_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,954,447,0.46855345911949686
0.075,elo_adj_impact,15,5,0.3,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,954,447,0.46855345911949686
0.075,elo_adj_impact,15,5,0.3,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,954,447,0.46855345911949686
0.1,elo_adj_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,954,447,0.46855345911949686
0.1,elo_adj_impact,15,5,0.3,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,954,447,0.46855345911949686
0.1,elo_adj_impact,15,5,0.3,0.1,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,954,447,0.46855345911949686
0.1,elo_adj_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,954,447,0.46855345911949686
0.1,elo_adj_impact,15,5,0.3,0.2,1137,792,780,0.6965699208443272,0.6860158311345647,-12,80,34,46,0.425,954,447,0.46855345911949686
0.1,elo_adj_impact,15,5,0.3,0.3,1137,792,780,0.6965699208443272,0.6860158311345647,-12,80,34,46,0.425,954,447,0.46855345911949686
0.125,elo_adj_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,954,447,0.46855345911949686
0.125,elo_adj_impact,15,5,0.3,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,954,447,0.46855345911949686
0.125,elo_adj_impact,15,5,0.3,0.1,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,954,447,0.46855345911949686
0.125,elo_adj_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,954,447,0.46855345911949686
0.125,elo_adj_impact,15,5,0.3,0.2,1137,792,780,0.6965699208443272,0.6860158311345647,-12,80,34,46,0.425,954,447,0.46855345911949686
0.125,elo_adj_impact,15,5,0.3,0.3,1137,792,778,0.6965699208443272,0.6842568161829375,-14,110,48,62,0.43636363636363634,954,447,0.46855345911949686
0.15,elo_adj_impact,15,5,0.3,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,954,447,0.46855345911949686
0.15,elo_adj_impact,15,5,0.3,0.05,1137,792,790,0.6965699208443272,0.6948109058927001,-2,16,7,9,0.4375,954,447,0.46855345911949686
0.15,elo_adj_impact,15,5,0.3,0.1,1137,792,787,0.6965699208443272,0.6921723834652594,-5,33,14,19,0.42424242424242425,954,447,0.46855345911949686
0.15,elo_adj_impact,15,5,0.3,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,58,27,31,0.46551724137931033,954,447,0.46855345911949686
0.15,elo_adj_impact,15,5,0.3,0.2,1137,792,780,0.6965699208443272,0.6860158311345647,-12,80,34,46,0.425,954,447,0.46855345911949686
0.15,elo_adj_impact,15,5,0.3,0.3,1137,792,771,0.6965699208443272,0.6781002638522428,-21,137,58,79,0.4233576642335766,954,447,0.46855345911949686
0.03,elo_adj_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,963,461,0.4787123572170301
0.03,elo_adj_impact,15,5,0.5,0.05,1137,792,789,0.6965699208443272,0.6939313984168866,-3,17,7,10,0.4117647058823529,963,461,0.4787123572170301
0.03,elo_adj_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,24,10,14,0.4166666666666667,963,461,0.4787123572170301
0.03,elo_adj_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,24,10,14,0.4166666666666667,963,461,0.4787123572170301
0.03,elo_adj_impact,15,5,0.5,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,24,10,14,0.4166666666666667,963,461,0.4787123572170301
0.03,elo_adj_impact,15,5,0.5,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,24,10,14,0.4166666666666667,963,461,0.4787123572170301
0.05,elo_adj_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,963,461,0.4787123572170301
0.05,elo_adj_impact,15,5,0.5,0.05,1137,792,789,0.6965699208443272,0.6939313984168866,-3,17,7,10,0.4117647058823529,963,461,0.4787123572170301
0.05,elo_adj_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,963,461,0.4787123572170301
0.05,elo_adj_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,963,461,0.4787123572170301
0.05,elo_adj_impact,15,5,0.5,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,963,461,0.4787123572170301
0.05,elo_adj_impact,15,5,0.5,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,963,461,0.4787123572170301
0.075,elo_adj_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,963,461,0.4787123572170301
0.075,elo_adj_impact,15,5,0.5,0.05,1137,792,789,0.6965699208443272,0.6939313984168866,-3,17,7,10,0.4117647058823529,963,461,0.4787123572170301
0.075,elo_adj_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,963,461,0.4787123572170301
0.075,elo_adj_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,963,461,0.4787123572170301
0.075,elo_adj_impact,15,5,0.5,0.2,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,963,461,0.4787123572170301
0.075,elo_adj_impact,15,5,0.5,0.3,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,963,461,0.4787123572170301
0.1,elo_adj_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,963,461,0.4787123572170301
0.1,elo_adj_impact,15,5,0.5,0.05,1137,792,789,0.6965699208443272,0.6939313984168866,-3,17,7,10,0.4117647058823529,963,461,0.4787123572170301
0.1,elo_adj_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,963,461,0.4787123572170301
0.1,elo_adj_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,963,461,0.4787123572170301
0.1,elo_adj_impact,15,5,0.5,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,83,36,47,0.43373493975903615,963,461,0.4787123572170301
0.1,elo_adj_impact,15,5,0.5,0.3,1137,792,781,0.6965699208443272,0.6868953386103782,-11,83,36,47,0.43373493975903615,963,461,0.4787123572170301
0.125,elo_adj_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,963,461,0.4787123572170301
0.125,elo_adj_impact,15,5,0.5,0.05,1137,792,789,0.6965699208443272,0.6939313984168866,-3,17,7,10,0.4117647058823529,963,461,0.4787123572170301
0.125,elo_adj_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,963,461,0.4787123572170301
0.125,elo_adj_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,963,461,0.4787123572170301
0.125,elo_adj_impact,15,5,0.5,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,83,36,47,0.43373493975903615,963,461,0.4787123572170301
0.125,elo_adj_impact,15,5,0.5,0.3,1137,792,779,0.6965699208443272,0.6851363236587511,-13,111,49,62,0.44144144144144143,963,461,0.4787123572170301
0.15,elo_adj_impact,15,5,0.5,0.0,1137,792,793,0.6965699208443272,0.6974494283201407,1,1,1,0,1.0,963,461,0.4787123572170301
0.15,elo_adj_impact,15,5,0.5,0.05,1137,792,789,0.6965699208443272,0.6939313984168866,-3,17,7,10,0.4117647058823529,963,461,0.4787123572170301
0.15,elo_adj_impact,15,5,0.5,0.1,1137,792,788,0.6965699208443272,0.693051890941073,-4,36,16,20,0.4444444444444444,963,461,0.4787123572170301
0.15,elo_adj_impact,15,5,0.5,0.15,1137,792,788,0.6965699208443272,0.693051890941073,-4,62,29,33,0.46774193548387094,963,461,0.4787123572170301
0.15,elo_adj_impact,15,5,0.5,0.2,1137,792,781,0.6965699208443272,0.6868953386103782,-11,83,36,47,0.43373493975903615,963,461,0.4787123572170301
0.15,elo_adj_impact,15,5,0.5,0.3,1137,792,771,0.6965699208443272,0.6781002638522428,-21,139,59,80,0.4244604316546763,963,461,0.4787123572170301
